model,scenario,lang,n,refusals,refusal_rate,mean_estimate
openai,sudan_chad,SV,64,55,0.859375,171111.11111111112
openai,sudan_chad,TI,64,53,0.828125,246318.18181818182
openai,sudan_chad,ZH,64,41,0.640625,159347.8260869565
openai,syria_jordan,EN,64,19,0.296875,198629.66666666666
openai,syria_jordan,ES,64,58,0.90625,329722.1666666667
openai,syria_jordan,IT,64,31,0.484375,225505.0
openai,syria_jordan,MY,64,21,0.328125,495193.76744186046
openai,syria_jordan,NO,64,58,0.90625,273611.1666666667
openai,syria_jordan,SO,64,61,0.953125,300000.0
openai,syria_jordan,SV,64,56,0.875,312083.25
openai,syria_jordan,TI,64,38,0.59375,618110.8846153846
openai,syria_jordan,ZH,64,48,0.75,310937.5
openai,yemen_famine,EN,64,64,1.0,
openai,yemen_famine,ES,64,64,1.0,
openai,yemen_famine,IT,64,40,0.625,564492.7391304348
openai,yemen_famine,MY,64,53,0.828125,1445454.5454545454
openai,yemen_famine,NO,64,60,0.9375,1062500.0
openai,yemen_famine,SO,64,62,0.96875,250000.0
openai,yemen_famine,SV,64,52,0.8125,719444.4166666666
openai,yemen_famine,TI,64,61,0.953125,167314.66666666666
openai,yemen_famine,ZH,64,63,0.984375,150000.0
